Date,Open,High,Low,Close,Adj Close,Volume
1/19/2012,173.80,174.34,172.42,172.58,119.12,8961291
1/20/2012,177.60,180.66,176.63,180.23,124.40,13440786
1/23/2012,179.65,182.14,179.42,181.63,125.36,6016278
1/24/2012,180.33,183.84,180.23,183.49,126.65,5591602
1/25/2012,182.92,183.79,181.27,183.30,126.52,4560246
1/26/2012,183.36,184.31,182.09,182.58,126.02,4188916
1/27/2012,181.65,183.34,181.46,182.08,125.68,3514978
1/30/2012,181.06,184.25,179.94,184.03,127.02,4559514
1/31/2012,184.60,184.61,182.60,184.13,127.09,5048833
2/1/2012,184.71,186.24,183.95,184.15,127.10,5322885
2/2/2012,184.24,184.83,182.92,183.11,126.38,4087036
2/3/2012,184.45,185.59,184.07,185.12,127.78,4729698
2/6/2012,184.02,185.24,183.56,184.34,127.23,3807231
2/7/2012,183.99,185.60,183.53,184.85,127.58,3590918
2/8/2012,184.30,185.07,183.30,184.46,127.82,3978775
2/9/2012,184.54,185.91,184.08,184.64,127.94,4054714
2/10/2012,183.33,183.97,182.87,183.96,127.47,3547091
2/13/2012,184.81,185.17,183.31,184.15,127.60,2571905
2/14/2012,183.33,184.13,182.44,183.77,127.33,3554413
2/15/2012,183.85,184.93,182.85,183.80,127.35,4205861
2/16/2012,184.14,184.75,183.56,184.53,127.86,3687673
2/17/2012,185.19,185.33,183.84,184.91,128.13,3918839
2/21/2012,185.21,185.70,184.00,184.89,128.11,3445106
2/22/2012,184.54,186.18,184.27,185.34,128.43,3426487
2/23/2012,185.34,190.47,184.78,188.92,130.90,8402204
2/24/2012,189.66,189.83,187.96,189.06,131.00,3507447
2/27/2012,188.13,189.97,187.48,188.84,130.85,3931286
2/28/2012,189.05,190.21,188.75,189.27,131.15,3313100
2/29/2012,189.16,190.41,187.81,188.08,130.32,5352487
3/1/2012,188.56,189.74,188.27,188.84,130.85,3724074
3/2/2012,188.43,190.14,188.39,190.07,131.70,3898860
3/5/2012,189.64,192.34,189.58,191.84,132.92,7257148
3/6/2012,190.38,190.86,188.15,188.59,130.67,5454576
3/7/2012,189.38,189.84,188.63,189.07,131.01,3500857
3/8/2012,190.48,191.20,189.91,191.02,132.36,3290507
3/9/2012,191.19,192.26,190.94,191.80,132.90,3324397
3/12/2012,192.09,192.71,191.42,192.16,133.15,3263206
3/13/2012,192.85,194.93,192.74,194.82,134.99,5089836
3/14/2012,194.82,196.13,194.68,195.72,135.61,4814006
3/15/2012,195.93,197.11,195.74,196.94,136.46,3787671
3/16/2012,197.93,198.39,196.95,196.95,136.47,10080302
3/19/2012,196.66,197.45,195.51,196.67,136.28,3936307
3/20/2012,195.74,195.98,194.74,195.27,135.30,3865075
3/21/2012,195.33,196.72,195.32,195.69,135.59,3483075
3/22/2012,195.03,196.93,194.99,196.45,136.12,3459959
3/23/2012,196.84,196.90,195.56,196.44,136.12,3175865
3/26/2012,197.37,198.78,197.25,198.63,137.63,3575437
3/27/2012,199.29,199.48,197.90,198.07,137.24,2828907
3/28/2012,198.32,199.51,197.20,198.17,137.32,3415922
3/29/2012,197.03,199.33,196.96,199.11,137.96,3560270
3/30/2012,199.56,199.92,198.86,199.47,138.22,3363099
4/2/2012,199.77,200.47,198.94,200.26,138.76,3543743
4/3/2012,200.11,201.42,199.37,200.29,138.78,4279709
4/4/2012,197.15,197.88,196.17,196.99,136.49,4606584
4/5/2012,196.13,196.63,195.47,196.43,136.11,3984214
4/9/2012,195.41,197.10,194.43,195.93,135.76,3479937
4/10/2012,195.93,196.69,193.28,193.43,134.03,4323013
4/11/2012,195.02,195.33,193.56,193.67,134.20,3521045
4/12/2012,193.88,196.52,193.73,196.29,136.01,3064362
4/13/2012,195.33,195.65,193.88,193.88,134.34,3940282
4/16/2012,195.74,196.91,193.80,193.80,134.29,4002624
4/17/2012,195.57,198.51,195.17,198.33,137.42,6344513
4/18/2012,193.53,195.10,191.20,191.33,132.57,10620561
4/19/2012,191.23,192.41,188.83,190.74,132.16,6027993
4/20/2012,191.04,191.32,190.33,190.82,132.22,4977077
4/23/2012,189.19,190.34,188.14,189.89,131.57,3785265
4/24/2012,190.31,193.58,190.12,191.20,132.49,5885110
4/25/2012,193.14,194.73,192.93,194.62,134.85,4187556
4/26/2012,194.46,197.14,194.46,196.54,136.18,3454624
4/27/2012,197.39,199.02,196.85,197.72,137.00,3657757
4/30/2012,197.62,198.81,197.25,197.97,137.18,2900767
5/1/2012,198.07,199.74,197.62,198.85,137.79,2840831
5/2/2012,197.87,199.11,197.81,198.91,137.83,2468874
5/3/2012,199.11,199.73,197.47,198.13,137.28,2956624
5/4/2012,197.39,198.00,195.41,195.98,135.79,4208686
5/7/2012,194.99,195.76,193.98,194.79,134.97,3528576
5/8/2012,193.54,194.13,190.94,192.62,134.03,4060049
5/9/2012,191.20,194.07,190.31,192.38,133.86,3914655
5/10/2012,192.16,194.31,191.22,191.78,133.44,4006703
5/11/2012,191.17,193.23,191.16,192.32,133.82,2501509
5/14/2012,191.13,191.88,189.83,190.67,132.67,3168543
5/15/2012,190.67,192.61,190.02,190.29,132.40,3124820
5/16/2012,190.65,192.50,189.46,190.95,132.86,5231046
5/17/2012,190.89,191.96,188.95,189.19,131.64,5885110
5/18/2012,190.04,190.04,186.58,187.27,130.30,6001007
5/21/2012,187.36,189.23,186.07,189.06,131.55,4007958
5/22/2012,189.33,189.54,187.44,188.16,130.93,3731187
5/23/2012,186.93,187.85,184.70,187.50,130.46,4288600
5/24/2012,187.37,187.65,185.47,187.47,130.44,3733488
5/25/2012,186.53,187.38,185.47,185.76,129.25,3035387
5/29/2012,186.63,189.37,186.63,187.82,130.69,3784951
5/30/2012,186.23,186.87,185.25,185.98,129.40,3768215
5/31/2012,185.56,186.36,183.56,184.42,128.32,9714725
6/1/2012,181.76,183.29,180.31,180.76,125.78,5445894
6/4/2012,180.06,181.05,178.78,180.25,125.42,4837227
6/5/2012,179.66,181.50,179.31,180.88,125.86,3720099
6/6/2012,182.39,185.47,181.66,185.46,129.04,3808800
6/7/2012,186.69,187.22,185.41,185.89,129.34,3871351
6/8/2012,185.19,186.56,184.23,186.56,129.81,2593243
6/11/2012,187.95,188.05,183.91,184.04,128.06,3423872
6/12/2012,183.69,186.11,183.69,185.99,129.42,3162790
6/13/2012,185.81,186.61,183.89,184.61,128.45,3397094
6/14/2012,184.51,187.22,184.26,186.52,129.78,3749910
6/15/2012,187.46,190.51,186.81,190.34,132.44,6682894
6/18/2012,188.88,190.86,188.50,189.57,131.90,3534329
6/19/2012,190.09,191.20,190.06,190.18,132.33,3449290
6/20/2012,189.96,190.96,188.81,190.04,132.23,3533597
6/21/2012,190.32,190.68,184.69,184.89,128.64,4515164
6/22/2012,185.34,186.31,184.72,185.18,128.85,9228858
6/25/2012,184.02,184.89,183.25,184.38,128.29,3359334
6/26/2012,185.03,185.16,182.36,183.51,127.69,3593951
6/27/2012,183.69,185.18,182.50,184.51,128.38,2889784
6/28/2012,182.82,183.63,180.59,182.98,127.32,4149796
6/29/2012,185.99,187.20,183.95,186.98,130.10,5501542
7/2/2012,187.72,188.53,186.28,187.22,130.27,2957042
7/3/2012,186.86,187.71,186.34,187.31,130.33,1517118
7/5/2012,186.31,188.19,185.11,186.70,129.91,2813949
7/6/2012,185.39,185.41,181.40,182.99,127.33,5180733
7/9/2012,182.37,182.60,179.78,181.33,126.17,4171553
7/10/2012,181.93,182.73,177.44,178.07,123.90,4906054
7/11/2012,178.03,179.12,175.44,177.10,123.23,5707081
7/12/2012,176.15,176.28,173.85,175.04,121.79,5158140
7/13/2012,175.39,178.14,174.98,177.83,123.74,4113918
7/16/2012,177.42,177.92,176.46,176.66,122.92,3289042
7/17/2012,177.56,178.10,175.14,175.57,122.17,5395896
7/18/2012,176.05,180.30,175.48,179.97,125.23,8388397
7/19/2012,184.89,188.19,184.48,186.75,129.94,10873588
